Wordform_GS2	Lemma_GS2	POS_GS2	Gram_GS2
"			
ПроСофт	Прософт	S	m,nom,sg
"			
,			
эта	этот	APRO	f,nom,sg
компания	компания	S	f,nom,sg
занимается	заниматься	V	3p,pres,sg
разработкой	разработка	S	f,ins,sg
и	и	CONJ	
производством	производство	S	ins,n,sg
одноплатных	одноплатный	A	gen,pl
компьютеров	компьютер	S	gen,m,pl
и	и	CONJ	
других	другой	APRO	gen,pl
электронных	электронный	A	gen,pl
блоков	блок	S	gen,m,pl
,			
а	а	CONJ	
также	также	CONJ	
разработкой	разработка	S	f,ins,sg
и	и	CONJ	
изготовлением	изготовление	S	ins,n,sg
по	по	PR	
контракту	контракт	S	dat,m,sg
электронного	электронный	A	gen,n,sg
оборудования	оборудование	S	gen,n,sg
для	для	PR	
систем	система	S	f,gen,pl
промышленной	промышленный	A	f,gen,sg
автоматизации	автоматизация	S	f,gen,sg
(			
доходы	доход	S	m,nom,pl
от	от	PR	
этих	этот	APRO	gen,pl
видов	вид	S	gen,m,pl
деятельности	деятельность	S	f,gen,sg
приблизительно	приблизительно	ADV	
одинаковы	одинаковый	A	brev,nom,pl
)			
.			
По	по	PR	
словам	слово	S	dat,n,pl
Девида	Девид	S	gen,m,sg
Ги	Ги	S	gen,m,sg
,			
вице-президента	вице-президент	S	gen,m,sg
HP			
Software			
по	по	PR	
маркетингу	маркетинг	S	dat,m,sg
,			
новое	новое	S	n,nom,sg
подразделение	подразделение	S	n,nom,sg
,			
получившее	получить	V	act,n,nom,partcp,past,sg
название	название	S	acc,n,sg
Business			
Information			
Optimization			
(			
BIO			
)			
,			
будет	быть	V	3p,pres,sg
состоять	состоять	V	inf
из	из	PR	
двух	два	NUM	f,gen
групп	группа	S	f,gen,pl
.			
Основной	основной	A	m,nom,sg
продукт	продукт	S	m,nom,sg
компании-разработчика	компания-разработчик	S	gen,m,sg
антивирусного	антивирусный	A	gen,m,sg
ПО	ПО	S	gen,m,sg
Eset			
-			
Eset			
NOD32			
закуплен	закупить	V	brev,m,nom,partcp,pass,past,sg
для	для	PR	
парламента	парламент	S	gen,m,sg
республики	республика	S	f,gen,sg
Узбекистан	Узбекистан	S	acc,m,sg
(			
Олий	Олий	S	m,nom,sg
Мажлис	Мажлис	S	m,nom,sg
)			
.			
Еще	еще	ADV	
один	один	APRO	m,nom,sg
проект	проект	S	m,nom,sg
,			
который	который	APRO	m,nom,sg
мне	я	SPRO	1p,dat,sg
очень	очень	ADV	
импонирует	импонировать	V	3p,pres,sg
-			
это	это	ADV	
наше	наш	APRO	n,nom,sg
сотрудничество	сотрудничество	S	n,nom,sg
со	со	PR	
Школой	школа	S	f,ins,sg
изящных	изящный	A	gen,pl
искусств	искусство	S	gen,n,pl
Фаберже	Фаберже	S	m,nom,sg
:			
для	для	PR	
абитуриентов	абитуриент	S	gen,m,pl
,			
которые	который	APRO	acc,pl
в	в	PR	
будущем	будущее	S	loc,n,sg
создадут	создать	V	3p,pl,pres
свой	свой	APRO	acc,m,sg
бизнес	бизнес	S	acc,m,sg
,			
став	стать	V	ger,past
ювелирами	ювелир	S	ins,m,pl
,			
дизайнерами	дизайнер	S	ins,m,pl
одежды	одежда	S	f,gen,sg
,			
художниками	художник	S	ins,m,pl
,			
мы	мы	SPRO	1p,nom,pl
также	также	CONJ	
основали	основать	V	past,pl
компьютерный	компьютерный	A	acc,m,sg
класс	класс	S	acc,m,sg
,			
где	где	ADV	
они	они	SPRO	3p,nom,pl
изучают	изучать	V	3p,pl,pres
,			
чем	что	SPRO	ins,n,sg
им	они	SPRO	3p,dat,pl
могут	мочь	V	3p,pl,pres
быть	быть	V	inf
полезны	полезный	A	brev,nom,pl
информационные	информационный	A	nom,pl
технологии	технология	S	f,nom,pl
.			
АСУ	АСУ	S	nom
госзакупками	госзакупка	S	f,ins,pl
региона	регион	S	gen,m,sg
разработана	разработать	V	brev,f,nom,partcp,pass,past,sg
на	на	PR	
основе	основа	S	f,loc,sg
электронного	электронный	A	gen,m,sg
решения	решение	S	gen,m,sg
компании	компания	S	f,gen,sg
"			
НОРБИТ	НОРБИТ	S	nom
"			
-			
"			
ГосЗаказ	ГосЗаказ	S	m,nom,sg
"			
v.3.0			
и	и	CONJ	
функционально	функционально	ADV	
охватывает	охватывать	V	3p,pres,sg
комплексное	комплексный	A	acc,n,sg
управление	управление	S	acc,n,sg
процессом	процесс	S	ins,m,sg
размещения	размещение	S	gen,n,sg
государственных	государственный	A	gen,pl
заказов	заказ	S	gen,m,pl
.			
Компания	компания	S	f,nom,sg
"			
АйТи	АйТи	S	nom
"			
по	по	PR	
запросу	запрос	S	dat,m,sg
руководства	руководство	S	gen,n,sg
ВолГУ	ВолГУ	S	m,nom,sg
предоставила	предоставить	V	n,past,sg
университету	университет	S	dat,m,sg
полнофункциональную	полнофункциональный	A	acc,f,sg
версию	версия	S	acc,f,sg
системы	система	S	f,gen,sg
"			
БОСС-Референт	Босс-Референт	S	m,nom,sg
".			
ЭЦП	ЭЦП	S	nom
тормозит	тормозить	V	3p,pres,sg
ЭДО	ЭДО	S	acc
Резюмируя	резюмировать	V	ger,pres
обсуждения	обсуждение	S	acc,n,pl
в	в	PR	
данной	данный	A	f,loc,sg
секции	секция	S	f,loc,sg
,			
можно	можно	ADV	
сказать	сказать	V	inf
,			
что	что	CONJ	
новых	новый	A	gen,pl
проблем	проблема	S	f,gen,pl
за	за	PR	
последний	последний	A	acc,m,sg
год	год	S	acc,m,sg
не	не	ADV	
появилось	появиться	V	n,past,sg
,			
старые	старый	A	nom,pl
же	же	ADV	
,			
например	например	ADV	
,			
несовершенство	несовершенство	S	acc,n,sg
нормативной	нормативный	A	f,gen,sg
базы	база	S	f,gen,sg
,			
определяющей	определять	V	act,f,gen,partcp,pres,sg
функционирование	функционирование	S	acc,n,sg
удостоверяющих	удостоверять	V	act,gen,partcp,pl,pres
центров	центр	S	gen,m,pl
,			
решаются	решаться	V	3p,pl,pres
чрезвычайно	чрезвычайно	ADV	
медленно	медленно	ADV	
.			
Вечные	вечный	A	nom,pl
барьеры	барьер	S	m,nom,pl
Наиболее	наиболее	ADV	
заметный	заметный	A	m,nom,sg
прогресс	прогресс	S	m,nom,sg
наблюдается	наблюдаться	V	3p,pres,sg
там	там	ADV	
,			
где	где	ADV	
бизнес	бизнес	S	m,nom,sg
может	мочь	V	3p,pres,sg
что-то	что-то	SPRO	acc,n
сделать	сделать	V	inf
самостоятельно	самостоятельно	ADV	
-			
эта	этот	APRO	f,nom,sg
мысль	мысль	S	f,nom,sg
,			
мимоходом	мимоходом	ADV	
прозвучавшая	прозвучать	V	act,f,nom,partcp,past,sg
в	в	PR	
выступлении	выступление	S	loc,n,sg
одного	один	NUM	gen,m,sg
из	из	PR	
докладчиков	докладчик	S	gen,m,pl
,			
ясно	ясно	ADV	
характеризует	характеризовать	V	3p,pres,sg
отношение	отношение	S	acc,n,sg
бизнеса	бизнес	S	gen,n,sg
к	к	PR	
работе	работа	S	dat,f,sg
в	в	PR	
госсекторе	госсектор	S	loc,m,sg
.			
В	в	PR	
операции	операция	S	f,loc,sg
задействовано	задействовать	V	n,nom,partcp,pass,past,sg
80			
автомашин	автомашина	S	f,gen,pl
и	и	CONJ	
бронетранспортеров	бронетранспортер	S	gen,m,pl
,			
8			
вертолетов	вертолет	S	gen,m,pl
,			
а	а	CONJ	
также	также	ADV	
артиллерия	артиллерия	S	f,nom,sg
и	и	CONJ	
танки	танк	S	m,nom,pl
.			
Несмотря	несмотря	ADV	
на	на	PR	
прибытие	прибытие	S	acc,n,sg
в	в	PR	
на	на	PR	
место	место	S	acc,n,sg
инцидента	инцидент	S	gen,m,sg
специалистов	специалист	S	gen,m,pl
из	из	PR	
Бангкока	Бангкок	S	gen,m,sg
,			
лайнер	лайнер	S	acc,m,sg
пока	пока	ADV	
не	не	ADV	
удалось	удасться	V	n,past,sg
вытащить	вытащить	V	inf
из	из	PR	
глины	глина	S	f,gen,sg
,			
что	что	SPRO	n,nom
не	не	ADV	
позволяет	позволять	V	3p,pres,sg
возобновить	возобновить	V	inf
работу	работа	S	acc,f,sg
аэропорта	аэропорт	S	gen,m,sg
.			
Так	так	ADV	
,			
оказалось	оказаться	V	n,past,sg
полностью	полностью	ADV	
отрезанным	отрезать	V	ins,n,partcp,pass,past,sg
от	от	PR	
внешнего	внешний	A	gen,m,sg
мира	мир	S	gen,m,sg
местечко	местечко	S	n,nom,sg
Кирхомфельд	Кирхомфельд	S	m,nom,sg
.			
Благодаря	благодаря	PR	
личности	личность	S	dat,f,sg
основателя	основатель	S	gen,m,sg
,			
монастырь	монастырь	S	m,nom,sg
скоро	скоро	ADV	
приобрел	приобрести	V	m,past,sg
большую	большой	A	acc,f,sg
славу	слава	S	acc,f,sg
и	и	CONJ	
стал	стать	V	m,past,sg
играть	играть	V	inf
роль	роль	S	acc,f,sg
в	в	PR	
княжеских	княжеский	A	loc,pl
отношениях	отношение	S	loc,n,pl
.			
По	по	PR	
его	его	APRO	
мнению	мнение	S	dat,n,sg
,			
необходимо	необходимо	ADV	
усилить	усилить	V	inf
координацию	координация	S	acc,f,sg
между	между	PR	
другими	другой	A	ins,pl
министерствами	министерство	S	ins,n,pl
и	и	CONJ	
ведомствами	ведомство	S	ins,n,pl
,			
в	в	PR	
частности	частность	S	f,loc,sg
,			
МВД	МВД	S	gen,n,sg
,			
Минобороны	Минобороны	S	gen,n,sg
и	и	CONJ	
Минздрава	Минздрав	S	gen,m,sg
с	с	PR	
МЧС	МЧС	S	ins,n,sg
и	и	CONJ	
региональными	региональный	A	ins,pl
властями	власть	S	f,ins,pl
.			
Жители	житель	S	m,nom,pl
поселка	поселок	S	gen,m,sg
Невская	Невский	A	f,nom,sg
Дубровка	Дубровка	S	f,nom,sg
могут	мочь	V	3p,pl,pres
остаться	остаться	V	inf
без	без	PR	
света	свет	S	gen,m,sg
из-за	из-за	PR	
того	то	SPRO	gen,n,sg
,			
что	что	CONJ	
администрация	администрация	S	f,nom,sg
Всеволжского	Всеволожский	A	gen,m,sg
района	район	S	gen,m,sg
Ленинградской	Ленинградский	A	f,gen,sg
области	область	S	f,gen,sg
задерживает	задерживать	V	3p,pres,sg
выплату	выплата	S	acc,f,sg
долга	долг	S	gen,m,sg
за	за	PR	
электроэнергию	электроэнергия	S	acc,f,sg
АО	АО	S	dat,n,sg
"			
Ленэнерго	Ленэнерго	S	nom
".			
В	в	PR	
поселке	поселок	S	loc,m,sg
Видяево	Видяево	S	n,nom,sg
/			
Мурманская	Мурманский	A	n,nom,sg
область	область	S	n,nom,sg
/			
,			
откуда	откуда	ADV	
два	два	NUM	f,nom
года	год	S	f,gen,pl
назад	назад	ADV	
в	в	PR	
последний	последний	A	acc,m,sg
поход	поход	S	acc,m,sg
ушел	уйти	V	m,past,sg
"			
Курск	Курск	S	m,nom,sg
"			
,			
был	быть	V	m,past,sg
открыт	открыть	V	brev,m,nom,partcp,pass,past,sg
Мемориал	мемориал	S	n,nom,sg
морякам-подводникам	моряк-подводник	S	dat,m,pl
,			
погибшим	погибнуть	V	act,dat,partcp,past,pl
в	в	PR	
океане	океан	S	loc,m,sg
.			
Руководство	руководство	S	n,nom,sg
газового	газовый	A	gen,m,sg
концерна	концерн	S	gen,m,sg
заявило	заявить	V	n,past,sg
,			
что	что	CONJ	
в	в	PR	
результате	результат	S	loc,m,sg
планируемой	планировать	V	f,gen,partcp,pass,pres,sg
допэмиссии	допэмиссия	S	f,gen,sg
акций	акция	S	f,gen,pl
"			
СИБУРа	СИБУР	S	gen,m,sg
"			
был	быть	V	m,past,sg
размыт	размыть	V	brev,m,nom,partcp,pass,past,sg
пакет	пакет	S	m,nom,sg
акций	акция	S	f,gen,pl
"			
Газпрома	Газпром	S	gen,m,sg
".			
Женщина	женщина	S	f,nom,sg
необыкновенной	необыкновенный	A	f,gen,sg
красоты	красота	S	f,gen,sg
,			
талантливая	талантливый	A	f,nom,sg
актриса	актриса	S	f,nom,sg
и	и	CONJ	
педагог	педагог	S	m,nom,sg
она	она	SPRO	f,nom,sg
занимает	занимать	V	3p,pres,sg
достойное	достойный	A	acc,n,sg
место	место	S	acc,n,sg
в	в	PR	
прославленной	прославленный	A	f,loc,sg
галерее	галерея	S	f,loc,sg
портретов	портрет	S	gen,m,pl
,			
где	где	ADV	
пляшет	плясать	V	3p,pres,sg
сверкающая	сверкать	V	act,f,nom,partcp,pres,sg
Золушка	Золушка	S	f,nom,sg
Любови	Любовь	S	f,gen,sg
Орловой	Орлова	S	f,gen,sg
,			
где	где	ADV	
поют	петь	V	3p,pl,pres
наивные	наивный	A	nom,pl
Марьяны	Марьяна	S	f,nom,pl
и	и	CONJ	
Глаши	Глаша	S	f,nom,pl
Марины	Марина	S	f,gen,sg
Ладыниной	Ладынина	S	f,gen,sg
,			
где	где	ADV	
страдает	страдать	V	3p,pres,sg
великая	великий	A	f,nom,sg
Вера	Вера	S	f,nom,sg
Марецкая	Марецкая	S	f,nom,sg
.			
Между	между	PR	
тем	тот	APRO	ins,n,sg
в	в	PR	
этом	этот	APRO	loc,m,sg
же	же	ADV	
районе	район	S	loc,m,sg
"			
всплыла	всплыть	V	f,past,sg
"			
еще	еще	ADV	
одна	один	NUM	f,nom,sg
поддельная	поддельный	A	f,nom,sg
пятисотрублевка	пятисотрублевка	S	f,nom,sg
.			
В	в	PR	
минувший	минувший	A	acc,m,sg
четверг	четверг	S	acc,m,sg
суд	суд	S	m,nom,sg
по	по	PR	
ходатайству	ходатайство	S	dat,n,sg
защиты	защита	S	f,gen,sg
изменил	изменить	V	m,past,sg
меру	мера	S	acc,f,sg
пресечения	пресечение	S	gen,n,sg
другому	другой	A	dat,m,sg
обвиняемому	обвинять	S	dat,m,sg
по	по	PR	
этому	этот	APRO	dat,n,sg
делу	дело	S	dat,n,sg
-			
бывшему	бывший	A	dat,m,sg
вице-президенту	вице-президент	S	dat,m,sg
компании	компания	S	f,gen,sg
Евгению	Евгений	S	dat,m,sg
Кощицу	Кошиц	S	dat,m,sg
.			
Санитарной	санитарный	A	dat,f,sg
обработке	обработка	S	dat,f,sg
будут	быть	V	3p,pl,pres
подвергнуты	подвергнуть	V	brev,nom,partcp,pass,past,pl
территории	территория	S	f,nom,pl
двенадцати	двенадцать	NUM	gen
баз	база	S	f,gen,sg
отдыха	отдых	S	gen,m,sg
,			
расположенных	расположить	V	gen,partcp,pass,past,pl
в	в	PR	
районе	район	S	loc,m,sg
поселка	поселок	S	gen,m,sg
.			
На	на	PR	
данное	данный	A	acc,n,sg
время	время	S	acc,n,sg
ни	ни	ADV	
одного	один	ANUM	gen,m,sg
случая	случай	S	gen,m,sg
возникновения	возникновение	S	gen,n,sg
инфекционных	инфекционный	A	gen,pl
заболеваний	заболевание	S	gen,n,pl
в	в	PR	
районе	район	S	loc,m,sg
стихии	стихия	S	f,gen,sg
зарегистрировано	зарегистрировать	V	brev,n,nom,partcp,pass,past,sg
не	не	ADV	
было	быть	V	n,past,sg
,			
почеркнули	подчеркнуть	V	past,pl
в	в	PR	
СЭС	СЭС	S	f,loc,sg
.			
В	в	PR	
то	тот	APRO	acc,n,sg
же	же	ADV	
время	время	S	acc,n,sg
санитарно-эпидемиологическая	санитарно-эпидемологический	A	f,nom,sg
служба	служба	S	f,nom,sg
Краснодарского	краснодарский	A	gen,m,sg
края	край	S	gen,m,sg
настаивает	настаивать	V	3p,pres,sg
на	на	PR	
закрытии	закрытие	S	loc,n,sg
оздоровительных	оздоровительный	A	gen,pl
лагерей	лагерь	S	gen,m,pl
в	в	PR	
поселках	поселок	S	loc,m,pl
Южная	южный	A	f,nom,sg
Озереевка	Озереевка	S	f,nom,sg
и	и	CONJ	
Широкая	широкий	A	f,nom,sg
Балка	балка	S	f,nom,sg
,			
где	где	ADV	
в	в	PR	
настоящее	настоящий	A	acc,n,sg
время	время	S	acc,n,sg
находятся	находиться	V	3p,pl,pres
1			
тыс	тыс	S	nom
470			
детей	ребенок	S	gen,m,pl
,			
прибывших	прибывать	V	act,gen,partcp,pl,pres
на	на	PR	
отдых	отдых	S	acc,m,sg
.			
В	в	PR	
июле	июль	S	loc,m,sg
на	на	PR	
автодорогах	автодорога	S	f,loc,pl
Франции	Франция	S	f,gen,sg
погибло	погибать	V	n,past,sg
665			
человек	человек	S	gen,m,pl
.			
В	в	PR	
рамках	рамка	S	f,loc,pl
ООН	ООН	S	f,gen,sg
был	быть	V	m,past,sg
подготовлен	подготовить	V	brev,m,nom,partcp,pass,past,sg
документ	документ	S	m,nom,sg
по	по	PR	
разграничению	разграничение	S	dat,n,sg
конституционных	конституционный	A	gen,pl
полномочий	полномочие	S	gen,n,pl
между	между	PR	
Тбилиси	Тбилиси	S	ins,m,sg
и	и	CONJ	
Сухуми	Сухуми	S	ins,m,sg
,			
получивший	получить	V	act,m,nom,partcp,past,sg
уловное	условный	A	acc,n,sg
название	название	S	acc,n,sg
"			
проект	проект	S	m,nom,sg
Д	доктор	S	gen,m,sg
.			
Бодена	Боден	S	gen,m,sg
"			
по	по	PR	
имени	имя	S	dat,n,sg
уже	уже	ADV	
бывшего	бывший	A	gen,m,sg
представителя	представитель	S	gen,m,sg
генсека	генсек	S	gen,m,sg
ООН	ООН	S	f,gen,sg
в	в	PR	
Грузии	Грузия	S	f,loc,sg
.			
При	при	PR	
нападении	нападение	S	loc,n,sg
на	на	PR	
ювелирный	ювелирный	A	acc,m,sg
магазин	магазин	S	acc,m,sg
из	из	PR	
пистолета	пистолет	S	gen,m,sg
был	быть	V	m,past,sg
тяжело	тяжело	ADV	
ранен	ранить	V	brev,m,nom,partcp,pass,past,sg
охранник	охранник	S	m,nom,sg
,			
а	а	CONJ	
при	при	PR	
ограблении	ограбление	S	loc,n,sg
магазина	магазин	S	gen,m,sg
компьютерной	компьютерный	A	f,gen,sg
техники	техника	S	f,gen,sg
-			
двое	двое	NUM	nom
контролеров	контролер	S	gen,m,pl
-			
администраторов	администратор	S	gen,m,pl
.			
Спецпредставитель	спецпредставитель	S	m,nom,sg
МИД	МИД	S	gen,n,sg
РФ	РФ	S	f,gen,sg
считает	считать	V	3p,pres,sg
,			
что	что	CONJ	
,			
нагнетая	нагнетать	V	ger,pres
атмосферу	атмосфера	S	acc,f,sg
конфронтации	конфронтация	S	f,gen,sg
,			
Тбилиси	Тбилиси	S	m,nom,sg
Абхазию	Абхазия	S	acc,f,sg
не	не	ADV	
вернет	вернуть	V	3p,pres,sg
2002/08/12/			
Если	если	CONJ	
Тбилиси	тбилиси	S	m,nom,sg
будет	быть	V	3p,pres,sg
нагнетать	нагнетать	V	inf
атмосферу	атмосфера	S	acc,f,sg
конфронтации	конфронтация	S	f,gen,sg
,"			
то	то	CONJ	
совершенно	совершенно	ADV	
ясно	ясно	ADV	
,			
что	что	CONJ	
таким	такой	APRO	ins,m,sg
методом	метод	S	ins,m,sg
Абхазию	Абхазия	S	acc,f,sg
Грузии	Грузия	S	dat,f,sg
не	не	ADV	
вернуть	вернуть	V	inf
".			
Ведение	введение	S	n,nom,sg
визового	визовый	A	gen,m,sg
режима	режим	S	gen,m,sg
на	на	PR	
абхазском	абхазский	A	loc,m,sg
участке	участок	S	loc,m,sg
российско-грузинской	росскийско-грузинский	A	f,gen,sg
границы	граница	S	f,gen,sg
создает	создавать	V	3p,pres,sg
неразрешимые	неразрешимый	A	acc,pl
проблемы	проблема	S	acc,f,pl
для	для	PR	
многих	много	ADV	
абхазских	абхазский	A	gen,pl
семей	семья	S	f,gen,pl
,			
единственный	единственный	A	m,nom,sg
источник	источник	S	m,nom,sg
дохода	доход	S	gen,m,sg
которых	который	APRO	gen,pl
-			
мелкооптовая	мелкооптовый	A	f,nom,sg
торговля	торговля	S	f,nom,sg
на	на	PR	
российскую	российский	A	acc,f,sg
территории	территория	S	acc,f,sg
фруктами	фрукт	S	ins,m,pl
,			
овощами	овощ	S	ins,m,pl
,			
цветами	цветок	S	ins,m,pl
.			
А	а	CONJ	
7			
апреля	апрель	S	gen,m,sg
началась	начаться	V	f,past,sg
серия	серия	S	f,nom,sg
диверсионно-террористических	диверсионно-террористический	A	gen,pl
актов	акт	S	gen,m,pl
со	со	PR	
стороны	сторона	S	f,gen,sg
групп	группа	S	f,gen,pl
,			
приходивших	приходить	V	act,gen,partcp,past,pl
с	с	PR	
территории	территория	S	f,gen,sg
Грузии	Грузия	S	f,gen,sg
.			
Компания	компания	S	f,nom,sg
"			
Сибнефть	Сибнефть	S	f,nom,sg
"			
,			
получив	получить	V	ger,past
37			
-			
процентный	процентный	A	acc,m,sg
пакет	пакет	S	acc,m,sg
акций	акция	S	f,gen,pl
завода	завод	S	gen,m,sg
,			
стремится	стремиться	V	3p,pres,sg
"			
влиять	влиять	V	inf
на	на	PR	
ситуацию	ситуация	S	acc,f,sg
на	на	PR	
рынке	рынок	S	loc,m,sg
Москвы	Москва	S	f,gen,sg
".			
Как	как	CONJ	
сообщили	сообщать	V	past,pl
РИА	РИА	S	n,nom,sg
"			
Новости	Новость	S	f,nom,pl
"			
в	в	PR	
понедельник	понедельник	S	acc,m,sg
в	в	PR	
суде	суд	S	loc,m,sg
,			
19			
-			
летние	летний	A	nom,pl
подсудимые	подсудимый	S	m,nom,pl
из	из	PR	
города	город	S	gen,m,sg
Долгопрудный	Долгопрудный	S	m,nom,sg
были	быть	V	past,pl
признаны	признать	V	brev,nom,partcp,pass,past,pl
виновными	виновный	A	ins,pl
в	в	PR	
"			
бандитизме	бандитизм	S	loc,m,sg
"			
/			
ст	статья	S	f,nom,sg
209			
УК	УК	S	gen,m,sg
РФ	РФ	S	f,gen,sg
)/			
и	и	CONJ	
"			
разбое	разбой	S	loc,m,sg
"			
/			
ст	статья	S	f,nom,sg
.			
162			
УК	УК	S	gen,m,sg
РФ	РФ	S	f,gen,sg
/			
.			
В	в	PR	
экономической	экономический	A	f,loc,sg
столице	столица	S	f,loc,sg
Танзании	Танзания	S	f,gen,sg
Дар-эс-Саламе	Дар-эс-Салам	S	loc,m,sg
начались	начаться	V	past,pl
переговоры	переговоры	S	nom,pl
между	между	PR	
правительством	правительство	S	ins,n,sg
Бурунди	Бурунди	S	f,gen,sg
и	и	CONJ	
представителями	представитель	S	ins,m,pl
самой	самый	APRO	f,gen,sg
значительной	значительный	A	f,gen,sg
организации	организация	S	f,gen,sg
вооруженной	вооруженный	A	f,gen,sg
оппозиции	оппозиция	S	f,gen,sg
-			
Сил	сила	S	f,gen,pl
в	в	PR	
защиту	защита	S	acc,f,sg
демократии	демократия	S	f,gen,sg
(			
ФДД	ФДД	S	gen,n,sg
).			
Как	как	CONJ	
передает	передавать	V	3p,pres,sg
корреспондент	корреспондент	S	m,nom,sg
РИА	РИА	S	gen,n,sg
"			
Новости	новость	S	f,nom,pl
"			
,			
открывая	открывать	V	ger,pres
сегодняшнюю	сегодняшний	A	acc,f,sg
встречу	встреча	S	acc,f,sg
,			
президент	президент	S	m,nom,sg
Танзании	Танзания	S	f,gen,sg
Бенджамин	Бенджамин	S	m,nom,sg
Мкапа	Мкапа	S	m,nom,sg
призвал	призвать	V	m,past,sg
ее	ее	APRO	
участников	участник	S	acc,m,pl
в	в	PR	
качестве	качество	S	loc,n,sg
"			
жеста	жест	S	gen,m,sg
доброй	добрый	A	f,gen,sg
воли	воля	S	f,gen,sg
и	и	CONJ	
доказательства	доказательство	S	gen,n,sg
приверженности	приверженность	S	f,gen,sg
обеих	оба	NUM	f,gen
сторон	сторона	S	f,gen,pl
миротворческому	миротворческий	A	dat,m,sg
процессу	процесс	S	dat,m,sg
"			
объявить	объявить	V	inf
мораторий	мораторий	S	acc,m,sg
на	на	PR	
военные	военный	A	acc,pl
действия	действие	S	acc,n,pl
на	на	PR	
весь	весь	APRO	acc,m,sg
срок	срок	S	acc,m,sg
переговоров	переговоры	S	gen,pl
.			
Российскую	российский	A	acc,f,sg
делегацию	делегация	S	acc,f,sg
возглавляет	возглавлять	V	3p,pres,sg
заместитель	заместитель	S	m,nom,sg
научно-технической	научно-технический	A	f,gen,sg
комиссии	комиссия	S	f,gen,sg
МАК	МАК	S	m,nom,sg
Сергей	Сергей	S	m,nom,sg
Зайко	Зайко	S	m,nom,sg
.			
Об	об	PR	
этом	это	SPRO	loc,n,sg
корреспонденту	корреспондент	S	dat,m,sg
РИА	РИА	S	gen,n,sg
"			
Новости	новость	S	f,nom,pl
"			
сообщил	сообщить	V	m,past,sg
пресс-секретарь	пресс-секретарь	S	m,nom,sg
межгосударственного	межгосударственный	A	gen,m,sg
авиационного	авиационный	A	gen,m,sg
комитета	комитет	S	gen,m,sg
/			
МАК	МАК	S	m,nom,sg
/			
Олег	Олег	S	m,nom,sg
Ермолов	Ермолов	S	m,nom,sg
.>			
Российские	российский	A	nom,pl
специалисты	специалист	S	m,nom,pl
проведут	провести	V	3p,pl,pres
исследования	исследование	S	acc,n,pl
в	в	PR	
США	США	S	loc,m,pl
бортовой	бортовой	A	f,gen,sg
системы	система	S	f,gen,sg
"			
Текас	Текас	S	m,nom,sg
"			
,			
устанавливаемой	устанавливать	V	f,gen,partcp,pass,pres,sg
на	на	PR	
самолетах	самолет	S	loc,m,pl
"			
Боинг	Боинг	S	m,nom,sg
"			
для	для	PR	
предотвращения	предотвращение	S	gen,n,sg
столкновений	столкновение	S	gen,n,pl
в	в	PR	
воздухе	воздух	S	loc,m,sg
и	и	CONJ	
с	с	PR	
землей	земля	S	f,ins,sg
.			
Вместе	вместе	ADV	
с	с	PR	
тем	тот	SPRO	ins,m,sg
,			
Ермолов	Ермолов	S	m,nom,sg
отметил	отметить	V	m,past,sg
,			
что	что	CONJ	
работа	работа	S	f,nom,sg
германской	германский	A	f,gen,sg
комиссии	комиссия	S	f,gen,sg
по	по	PR	
расследованию	расследование	S	dat,n,sg
причин	причина	S	f,gen,pl
этого	этот	APRO	gen,n,sg
авиапроисшествия	авиапроисшествие	S	gen,n,sg
ведется	вестись	V	3p,pres,sg
по	по	PR	
плану	план	S	dat,m,sg
.			
Об	об	PR	
этом	это	SPRO	loc,n,sg
,			
как	как	ADV	
передает	передавать	V	3p,pres,sg
корреспондент	корреспондент	S	m,nom,sg
РИА	РИА	S	gen,n,sg
"			
Новости	новость	S	f,nom,pl
"			
,			
в	в	PR	
понедельник	понедельник	S	acc,m,sg
сообщила	сообщить	V	f,past,sg
на	на	PR	
пресс-конференции	пресс-конференция	S	f,loc,sg
в	в	PR	
медиа-центре	медиа-центр	S	loc,m,sg
"			
Известия	известие	S	n,nom,pl
